t0.0,t0.05,t0.1,t0.15,t0.2,t0.25,t0.3,t0.35,t0.4,t0.45,t0.5,t0.55,t0.6,t0.65
"(0.0,-0.06,1.0)","(1.83,-0.04,0.99)","(3.66,0.02,0.95)","(5.49,0.03,0.89)","(7.32,-0.06,0.8)","(9.15,-0.01,0.69)","(10.98,-0.1,0.56)","(12.81,0.07,0.4)","(14.64,-0.01,0.22)","(16.48,0.09,0.01)","(18.31,-0.09,0)","(20.14,0.06,0)",,
"(0.0,0.04,1.0)","(1.81,-0.02,0.99)","(3.63,-0.04,0.95)","(5.44,-0.0,0.89)","(7.26,-0.01,0.8)","(9.07,0.07,0.69)","(10.88,-0.08,0.56)","(12.7,0.06,0.4)","(14.51,0.06,0.22)","(16.33,-0.01,0.01)","(18.14,-0.08,0)","(19.96,0.09,0)","(21.77,0.0,0)",
"(0.0,-0.04,1.0)","(1.96,0.06,0.99)","(3.92,0.09,0.95)","(5.88,0.0,0.89)","(7.84,-0.09,0.8)","(9.8,-0.04,0.69)","(11.76,-0.08,0.56)","(13.72,-0.1,0.4)","(15.68,-0.04,0.22)","(17.64,-0.02,0.01)","(19.6,0.1,0)","(21.56,-0.05,0)",,
"(0.0,0.01,1.0)","(1.84,-0.01,0.99)","(3.67,-0.06,0.95)","(5.51,0.02,0.89)","(7.35,-0.01,0.8)","(9.18,-0.02,0.69)","(11.02,0.0,0.56)","(12.86,0.1,0.4)","(14.69,-0.04,0.22)","(16.53,-0.07,0.01)","(18.37,0.02,0)","(20.21,0.09,0)",,
"(0.0,0.02,1.0)","(2.08,-0.03,0.99)","(4.15,0.06,0.95)","(6.23,-0.08,0.89)","(8.31,0.03,0.8)","(10.39,-0.06,0.69)","(12.46,-0.07,0.56)","(14.54,-0.01,0.4)","(16.62,-0.01,0.22)","(18.69,0.06,0.01)","(20.77,0.09,0)",,,
"(0.0,0.06,1.0)","(1.83,0.06,0.99)","(3.66,0.06,0.95)","(5.49,-0.07,0.89)","(7.32,0.06,0.8)","(9.15,0.09,0.69)","(10.98,0.03,0.56)","(12.81,0.09,0.4)","(14.64,0.01,0.22)","(16.48,-0.07,0.01)","(18.31,0.05,0)","(20.14,-0.03,0)",,
"(0.0,0.1,1.0)","(1.74,-0.09,0.99)","(3.49,0.05,0.95)","(5.23,-0.02,0.89)","(6.97,0.02,0.8)","(8.71,-0.07,0.69)","(10.46,-0.09,0.56)","(12.2,0.01,0.4)","(13.94,0.01,0.22)","(15.69,-0.05,0.01)","(17.43,-0.03,0)","(19.17,-0.02,0)","(20.91,-0.0,0)",
"(0.0,-0.01,1.0)","(2.06,0.05,0.99)","(4.12,-0.0,0.95)","(6.19,-0.08,0.89)","(8.25,0.02,0.8)","(10.31,-0.01,0.69)","(12.37,0.07,0.56)","(14.44,-0.02,0.4)","(16.5,-0.07,0.22)","(18.56,-0.0,0.01)","(20.62,-0.08,0)",,,
"(0.0,0.07,1.0)","(1.93,0.08,0.99)","(3.86,0.01,0.95)","(5.8,-0.1,0.89)","(7.73,0.02,0.8)","(9.66,-0.02,0.69)","(11.59,0.1,0.56)","(13.52,0.06,0.4)","(15.46,-0.1,0.22)","(17.39,-0.07,0.01)","(19.32,0.1,0)","(21.25,-0.0,0)",,
"(0.0,0.08,1.0)","(1.69,0.01,0.99)","(3.37,0.07,0.95)","(5.06,-0.04,0.89)","(6.74,-0.09,0.8)","(8.43,-0.06,0.69)","(10.11,0.02,0.56)","(11.8,-0.01,0.4)","(13.48,0.07,0.22)","(15.17,-0.05,0.01)","(16.86,-0.05,0)","(18.54,0.01,0)","(20.23,-0.01,0)",
